iter	Passed	Remaining
0	3	3991
1	7	3968
2	11	3907
3	15	3909
4	18	3653
5	21	3613
6	25	3611
7	29	3602
8	32	3564
9	35	3549
10	39	3568
11	43	3550
12	46	3531
13	49	3520
14	53	3517
15	57	3505
16	60	3521
17	64	3543
18	68	3559
19	72	3555
20	76	3561
21	79	3552
22	83	3542
23	87	3543
24	90	3544
25	94	3540
26	98	3532
27	101	3531
28	105	3526
29	109	3524
30	112	3524
31	116	3519
32	119	3516
33	123	3511
34	127	3517
35	131	3516
36	134	3507
37	138	3506
38	142	3502
39	145	3498
40	149	3493
41	152	3487
42	156	3482
43	160	3484
44	164	3480
45	167	3474
46	171	3473
47	174	3468
48	178	3464
49	181	3456
50	185	3453
51	189	3454
52	193	3458
53	197	3455
54	200	3450
55	204	3446
56	208	3443
57	211	3438
58	215	3435
59	220	3460
60	224	3459
61	228	3456
62	232	3450
63	235	3444
64	239	3440
65	242	3432
66	246	3428
67	249	3422
68	253	3420
69	257	3415
70	260	3412
71	264	3407
72	267	3402
73	271	3399
74	275	3392
75	278	3385
76	282	3381
77	285	3374
78	288	3368
79	292	3362
80	296	3363
81	300	3358
82	303	3354
83	307	3351
84	310	3345
85	314	3340
86	317	3334
87	321	3329
88	324	3324
89	328	3320
90	332	3318
91	335	3311
92	339	3306
93	342	3301
94	346	3297
95	349	3295
96	353	3290
97	356	3285
98	360	3283
99	364	3278
100	367	3274
101	371	3269
102	374	3264
103	378	3260
104	381	3255
105	385	3252
106	389	3248
107	392	3244
108	396	3239
109	399	3235
110	403	3234
111	407	3230
112	411	3226
113	415	3226
114	418	3223
115	422	3221
116	426	3216
117	429	3211
118	433	3208
119	436	3204
120	440	3200
121	444	3196
122	447	3192
123	451	3190
124	455	3186
125	458	3183
126	462	3179
127	466	3174
128	469	3171
129	473	3168
130	477	3164
131	480	3159
132	483	3154
133	487	3149
134	491	3146
135	494	3142
136	498	3139
137	501	3134
138	505	3130
139	508	3126
140	512	3121
141	515	3117
142	519	3113
143	523	3110
144	527	3112
145	531	3107
146	535	3104
147	538	3100
148	542	3096
149	545	3092
150	549	3089
151	553	3086
152	556	3082
153	560	3077
154	563	3073
155	567	3070
156	571	3067
157	574	3063
158	578	3059
159	582	3055
160	585	3052
161	589	3048
162	592	3044
163	596	3041
164	600	3037
165	603	3033
166	607	3031
167	611	3027
168	614	3023
169	618	3019
170	622	3015
171	625	3012
172	629	3009
173	633	3005
174	636	3001
175	640	2998
176	644	2994
177	647	2990
178	650	2985
179	654	2982
180	658	2978
181	661	2974
182	665	2971
183	669	2967
184	672	2963
185	676	2959
186	679	2955
187	683	2951
188	686	2947
189	690	2944
190	694	2941
191	697	2937
192	701	2933
193	705	2930
194	708	2926
195	712	2922
196	715	2918
197	719	2914
198	723	2910
199	726	2907
200	730	2903
201	734	2899
202	737	2896
203	741	2892
204	744	2889
205	748	2884
206	752	2881
207	755	2878
208	759	2873
209	762	2869
210	766	2865
211	770	2863
212	774	2860
213	777	2856
214	781	2852
215	784	2848
216	788	2845
217	792	2841
218	795	2837
219	799	2835
220	803	2831
221	806	2827
222	810	2823
223	814	2820
224	817	2816
225	821	2812
226	824	2808
227	828	2805
228	832	2802
229	835	2798
230	839	2795
231	843	2792
232	847	2790
233	851	2786
234	854	2782
235	858	2778
236	861	2775
237	865	2771
238	869	2767
239	872	2764
240	876	2760
241	880	2756
242	883	2752
243	887	2749
244	890	2745
245	894	2741
246	898	2737
247	901	2734
248	905	2730
249	908	2726
250	912	2723
251	916	2719
252	919	2715
253	923	2712
254	927	2708
255	930	2705
256	934	2702
257	938	2698
258	941	2694
259	945	2690
260	949	2687
261	952	2684
262	956	2680
263	960	2676
264	963	2672
265	967	2668
266	971	2665
267	974	2662
268	978	2658
269	982	2655
270	986	2652
271	989	2648
272	993	2644
273	996	2640
274	1000	2637
275	1003	2633
276	1007	2629
277	1011	2626
278	1015	2623
279	1018	2619
280	1022	2616
281	1026	2612
282	1030	2610
283	1033	2606
284	1037	2602
285	1040	2598
286	1044	2595
287	1048	2591
288	1051	2587
289	1055	2583
290	1059	2580
291	1062	2576
292	1066	2573
293	1070	2569
294	1073	2566
295	1077	2562
296	1081	2559
297	1084	2555
298	1088	2552
299	1092	2548
300	1095	2544
301	1099	2540
302	1102	2537
303	1107	2534
304	1110	2531
305	1114	2527
306	1118	2524
307	1122	2520
308	1125	2517
309	1129	2513
310	1133	2510
311	1136	2506
312	1140	2502
313	1143	2498
314	1147	2494
315	1150	2491
316	1154	2487
317	1158	2483
318	1161	2479
319	1165	2475
320	1168	2471
321	1172	2467
322	1175	2464
323	1179	2460
324	1183	2457
325	1186	2453
326	1190	2450
327	1194	2446
328	1197	2442
329	1201	2438
330	1204	2434
